City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Jamapa,MX,2022-06-22 23:38:50,19.0333,-96.2333,82.47,65,75,20.71
178,Sao Gabriel Da Cachoeira,BR,2022-06-22 23:38:50,-0.1303,-67.0892,74.5,92,56,0.11
179,Saint-Francois,FR,2022-06-22 23:38:51,46.4154,3.9054,63.84,88,0,3.44
180,Bubaque,GW,2022-06-22 23:38:51,11.2833,-15.8333,81.63,82,96,11.79
181,Ouesso,CG,2022-06-22 23:38:52,1.6136,16.0517,69.93,98,98,1.86
182,Djambala,CG,2022-06-22 23:38:52,-2.5447,14.7533,68.43,86,65,2.28
183,Bereda,ES,2022-06-22 23:37:57,43.2686,-7.5406,57.15,100,100,1.86
184,Hastings,GB,2022-06-22 23:38:53,50.8552,0.5729,60.33,83,15,10.18
185,Praia,CV,2022-06-22 23:38:54,14.9215,-23.5087,77.54,88,75,11.5
186,Leningradskiy,RU,2022-06-22 23:38:54,69.3833,178.4167,50.16,55,51,10.76
187,Altay,CN,2022-06-22 23:39:55,47.8667,88.1167,74.93,35,2,5.84
188,Biak,ID,2022-06-22 23:39:55,-0.9131,122.8766,78.13,83,97,5.19
189,San Carlos De Bariloche,AR,2022-06-22 23:39:56,-41.1456,-71.3082,31.75,80,75,3.44
190,Rabo De Peixe,PT,2022-06-22 23:39:56,37.8,-25.5833,62.28,91,40,31.07
191,Los Llanos De Aridane,ES,2022-06-22 23:39:56,28.6585,-17.9182,65.95,89,75,11.5
192,Changying,CN,2022-06-22 23:39:57,52.8733,123.3213,60.31,92,88,1.72
193,Itarema,BR,2022-06-22 23:39:57,-2.9248,-39.9167,75.38,86,76,10.25
194,Meulaboh,ID,2022-06-22 23:39:58,4.1363,96.1285,74.84,88,99,5.28
195,Asau,RO,2022-06-22 23:39:58,46.4333,26.4,58.28,78,39,4.81
196,Caxito,AO,2022-06-22 23:39:59,-8.5785,13.6643,63.3,97,8,2.19
197,Savannah Bight,HN,2022-06-22 23:39:59,16.45,-85.85,81.07,78,100,14.63
198,Juruti,BR,2022-06-22 23:39:59,-2.1522,-56.0922,76.98,72,52,3.71
199,Anopino,RU,2022-06-22 23:40:00,55.6981,40.6671,49.23,93,26,6.44
200,Swabi,PK,2022-06-22 23:40:00,34.1199,72.4699,72.28,54,92,4.07
201,Mao,ES,2022-06-22 23:35:21,39.8885,4.2658,75.76,78,0,11.5
202,Mayumba,GA,2022-06-22 23:40:01,-3.432,10.6554,68.76,91,15,5.32
203,Victoria,HK,2022-06-22 23:35:41,22.2855,114.1577,87.33,81,33,1.99
204,Faanui,PF,2022-06-22 23:40:02,-16.4833,-151.75,80.35,63,8,9.22
205,Vaini,TO,2022-06-22 23:40:02,-21.2,-175.2,77.16,61,20,11.5
206,Bethel,US,2022-06-22 23:40:03,41.3712,-73.414,62.37,93,98,1.99
207,Chokurdakh,RU,2022-06-22 23:40:03,70.6333,147.9167,43.86,48,65,14.58
208,Aksu,CN,2022-06-22 23:40:04,41.1231,80.2644,77.9,28,42,4.45
209,Srednekolymsk,RU,2022-06-22 23:40:05,67.45,153.6833,51.17,69,100,17.02
210,Labytnangi,RU,2022-06-22 23:40:05,66.6572,66.4183,63.82,85,19,9.53
211,Kapoeta,SS,2022-06-22 23:40:05,4.7717,33.5903,76.05,58,76,5.61
212,Snyder,US,2022-06-22 23:40:06,32.7179,-100.9176,97.14,17,40,6.91
213,Davila,PH,2022-06-22 23:40:06,18.4726,120.5763,78.78,73,98,2.64
214,Kaitangata,NZ,2022-06-22 23:40:07,-46.2817,169.8464,42.24,51,85,3.13
215,Kodiak,US,2022-06-22 23:40:07,57.79,-152.4072,63.91,55,0,5.75
216,Nara,JP,2022-06-22 23:35:31,34.6851,135.8049,83.97,60,28,3.33
217,Ginda,IN,2022-06-22 23:40:08,30.6945,78.4932,63.95,51,6,4.92
218,Sorland,NO,2022-06-22 23:40:09,67.667,12.6934,49.86,87,93,26.62
219,Samagaltay,RU,2022-06-22 23:40:09,50.6022,95.0047,65.35,53,5,3.24
220,Semikarakorsk,RU,2022-06-22 23:40:10,47.5194,40.8112,58.42,74,16,8.57
221,Puerto Escondido,MX,2022-06-22 23:40:10,15.85,-97.0667,77.83,69,100,8.05
222,Soyo,AO,2022-06-22 23:40:11,-6.1349,12.3689,70.09,88,27,5.97
223,Klyuchi,RU,2022-06-22 23:40:11,52.2667,79.1667,68.04,53,2,11.05
224,Taguatinga,BR,2022-06-22 23:40:12,-12.3857,-46.5711,77.99,37,40,5.19
225,Lyaskelya,RU,2022-06-22 23:40:12,61.7667,31.0167,50.49,81,100,3.51
226,Riwaka,NZ,2022-06-22 23:40:13,-41.0833,173.0,48.0,57,100,0.83
227,Chuy,UY,2022-06-22 23:40:13,-33.6971,-53.4616,51.24,66,95,10.33
228,Bengkulu,ID,2022-06-22 23:40:14,-3.8004,102.2655,74.98,90,100,4.03
229,Ayr,GB,2022-06-22 23:40:14,55.4627,-4.6339,57.51,88,100,4.61
230,Balabac,PH,2022-06-22 23:40:15,7.9868,117.0645,83.93,72,66,8.12
231,Impfondo,CG,2022-06-22 23:40:15,1.6381,18.0667,69.94,98,70,2.71
232,Karasuk,RU,2022-06-22 23:40:15,53.7377,78.0403,66.34,62,82,9.04
233,East London,ZA,2022-06-22 23:41:16,-33.0153,27.9116,63.86,79,77,13.78
234,Upernavik,GL,2022-06-22 23:41:16,72.7868,-56.1549,33.71,87,100,10.16
235,Inhambane,MZ,2022-06-22 23:41:17,-23.865,35.3833,68.41,70,89,8.75
236,Cockburn Town,TC,2022-06-22 23:41:17,21.4612,-71.1419,82.36,65,40,13.8
237,Sambava,MG,2022-06-22 23:41:18,-14.2667,50.1667,66.47,72,33,10.76
238,Miri,MY,2022-06-22 23:41:18,4.4148,114.0089,78.94,94,20,2.3
239,Yazman,PK,2022-06-22 23:41:19,29.1212,71.7446,83.41,52,0,11.86
240,Baon,PH,2022-06-22 23:41:19,6.7956,126.0878,80.98,77,76,1.61
241,Atherton,GB,2022-06-22 23:41:03,53.5237,-2.4935,62.74,80,29,1.99
242,Yuanping,CN,2022-06-22 23:41:20,38.7153,112.7575,74.55,54,0,3.06
243,Klaksvik,FO,2022-06-22 23:41:20,62.2266,-6.589,50.92,86,89,20.4
244,Atar,MR,2022-06-22 23:41:21,20.5169,-13.0499,93.7,30,16,10.13
245,Kahului,US,2022-06-22 23:41:21,20.8947,-156.47,86.02,60,40,21.85
246,Petropavlovsk-Kamchatskiy,RU,2022-06-22 23:41:22,53.0452,158.6483,64.78,63,0,6.71
247,Dhrangadhra,IN,2022-06-22 23:41:22,22.9833,71.4667,86.52,70,3,14.03
248,Gobabis,NA,2022-06-22 23:41:23,-22.45,18.9667,41.36,45,0,3.4
249,Brownsville,US,2022-06-22 23:41:24,25.9018,-97.4975,91.4,55,0,13.8
250,Itaqui,BR,2022-06-22 23:41:24,-29.1253,-56.5531,54.97,95,100,6.13
251,Shimoda,JP,2022-06-22 23:41:25,34.6667,138.95,72.1,87,89,5.14
252,Gorontalo,ID,2022-06-22 23:41:25,0.5412,123.0595,79.52,84,100,1.34
253,Praia Da Vitoria,PT,2022-06-22 23:40:21,38.7333,-27.0667,65.75,88,75,13.35
254,Scottsbluff,US,2022-06-22 23:37:48,41.8666,-103.6672,91.63,17,0,11.01
255,Quatre Cocos,MU,2022-06-22 23:41:26,-20.2078,57.7625,69.91,77,29,13.76
256,Copiapo,CL,2022-06-22 23:41:26,-27.3667,-70.3333,53.29,72,3,0.98
257,Port Augusta,AU,2022-06-22 23:41:27,-32.5,137.7667,58.35,69,64,12.3
258,Goure,NE,2022-06-22 23:41:28,13.9835,10.2704,89.02,34,22,6.29
259,Kysyl-Syr,RU,2022-06-22 23:41:28,63.8986,122.7617,72.41,54,65,4.52
260,Jiayuguan,CN,2022-06-22 23:41:29,39.8167,98.3,75.18,29,0,5.79
261,Iki-Burul,RU,2022-06-22 23:41:29,45.8208,44.6472,67.17,57,100,17.18
262,Nautla,MX,2022-06-22 23:41:30,20.2167,-96.7833,79.11,81,100,5.1
263,Tessalit,ML,2022-06-22 23:41:30,20.1986,1.0114,95.11,13,61,13.13
264,Perth,AU,2022-06-22 23:40:04,-31.9333,115.8333,57.34,97,75,5.75
265,Esna,EG,2022-06-22 23:41:31,25.2934,32.554,80.62,32,0,9.4
266,Diamantino,BR,2022-06-22 23:41:31,-14.4086,-56.4461,73.06,40,97,3.98
267,Manama,BH,2022-06-22 23:41:32,26.2154,50.5832,89.58,74,0,4.61
268,Sur,OM,2022-06-22 23:41:32,22.5667,59.5289,84.96,71,7,18.45
269,Keti Bandar,PK,2022-06-22 23:41:33,24.1447,67.4497,84.11,79,0,13.49
270,Road Town,VG,2022-06-22 23:37:25,18.4167,-64.6167,82.49,78,40,5.75
271,Houma,US,2022-06-22 23:41:33,29.5958,-90.7195,95.0,58,40,5.75
272,Valparaiso,CL,2022-06-22 23:41:15,-33.0393,-71.6273,56.84,78,100,11.5
273,Avera,US,2022-06-22 23:41:34,33.194,-82.5271,100.45,23,3,2.46
274,Sabang,ID,2022-06-22 23:41:35,5.8933,95.3214,80.49,81,96,18.7
275,Sinnamary,GF,2022-06-22 23:41:35,5.3833,-52.95,77.13,85,38,7.34
276,Concarneau,FR,2022-06-22 23:41:36,47.875,-3.9225,63.39,90,90,1.39
277,Goderich,CA,2022-06-22 23:41:36,43.7501,-81.7165,65.91,81,42,14.54
278,Hofn,IS,2022-06-22 23:42:37,64.2539,-15.2082,46.67,59,47,9.95
279,Sobolevo,RU,2022-06-22 23:42:37,54.4299,31.8996,51.84,92,35,10.65
280,Ugoofaaru,MV,2022-06-22 23:42:38,5.6667,73.0,82.56,76,99,10.42
281,Carmaux,FR,2022-06-22 23:42:38,44.051,2.158,66.47,96,46,3.67
282,Port Pirie,AU,2022-06-22 23:42:39,-33.1833,138.0167,58.46,71,83,15.43
283,Constantine,DZ,2022-06-22 23:42:39,36.365,6.6147,73.33,49,48,3.2
284,Poum,NC,2022-06-22 23:42:39,-20.2333,164.0167,72.79,61,100,5.66
285,Descalvado,BR,2022-06-22 23:42:40,-21.9039,-47.6194,59.88,54,9,2.53
286,Tahoua,NE,2022-06-22 23:42:40,14.8888,5.2692,87.73,36,76,9.6
287,Sovetskiy,RU,2022-06-22 23:42:41,61.3614,63.5842,58.5,97,56,3.27
288,Alyangula,AU,2022-06-22 23:42:41,-13.8483,136.4192,78.31,66,11,17.78
289,El Dorado,US,2022-06-22 23:40:24,38.7666,-120.5177,87.42,18,88,7.67
290,Quang Ngai,VN,2022-06-22 23:41:34,15.1167,108.8,78.96,72,100,1.63
291,Sitka,US,2022-06-22 23:42:42,57.0531,-135.33,53.49,87,100,3.44
292,Sayyan,YE,2022-06-22 23:42:43,15.1718,44.3244,65.05,43,85,2.93
293,Alekseyevsk,RU,2022-06-22 23:42:43,57.8406,108.3492,59.56,71,24,0.56
