City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
97,Shimoda,JP,76.1,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
98,Matagami,CA,69.91,overcast clouds,49.7502,-77.6328,Motel Le Caribou
99,Roald,NO,79.72,clear sky,62.5833,6.1333,Flem Cabins
100,Bengkulu,ID,75.87,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
102,Port Blair,IN,81.0,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
103,Chiang Khong,TH,73.27,broken clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
104,Vila Franca Do Campo,PT,70.21,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
106,Alyangula,AU,76.37,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
107,Sao Felix Do Xingu,BR,87.35,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
108,Oyama,JP,83.59,scattered clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
110,Roma,US,88.83,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
111,Kushima,JP,77.63,broken clouds,31.4583,131.2333,Hanaoka
112,Asuncion,PY,63.9,overcast clouds,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
113,Asau,RO,74.32,broken clouds,46.4333,26.4,Casa Mika Ciobanus
115,Kutum,SD,88.63,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
117,Suhbaatar,MN,65.08,scattered clouds,50.2314,106.2078,Hotel Nine
118,Grand Gaube,MU,70.2,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
119,Jumla,NP,63.81,overcast clouds,29.2747,82.1838,Royal Garden Hotel
122,Mitzic,GA,73.0,light rain,0.7821,11.549,Motel Emys
123,Hasaki,JP,77.4,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
124,Qingdao,CN,73.0,light intensity shower rain,36.0986,120.3719,Le Meridien Qingdao
125,Omboue,GA,72.95,broken clouds,-1.5746,9.2618,Hotel Olako
126,Gamba,GA,72.45,clear sky,-2.65,10.0,
127,Kathor,IN,84.0,overcast clouds,21.3,72.9333,HOTEL PEARL
129,Gat,IL,81.79,clear sky,31.61,34.7642,OlusHome
132,Ternate,ID,79.5,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
134,Mana,GF,83.93,broken clouds,5.6592,-53.7767,LE SAMANA
135,Almeria,ES,85.44,clear sky,37.1667,-2.3333,Casa Rural El Laurel
137,Kupang,ID,76.98,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
138,Chuguyevka,RU,60.78,broken clouds,44.1653,133.8633,Svet V Okne
139,Chicama,PE,61.34,broken clouds,-7.8447,-79.1469,Balihai Bungalows
141,Lyman,UA,72.37,overcast clouds,48.9884,37.8023,"Вілла ""Філін"""
144,At-Bashi,KG,63.32,few clouds,41.1702,75.8106,Hostel At-Bashy
146,Kieta,PG,77.77,light rain,-6.2167,155.6333,Uruna Bay Retreat
150,Uige,AO,87.82,few clouds,-7.6087,15.0613,Hotel Catraio
151,Georgetown,MY,82.33,moderate rain,5.4112,100.3354,Cititel Penang
152,Soyo,AO,72.23,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
153,Nantucket,US,82.15,clear sky,41.2835,-70.0995,Jared Coffin House
154,Hanzhong,CN,68.22,overcast clouds,33.0728,107.0303,Guorui Hotel
156,Shieli,KZ,89.76,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
158,Teya,RU,60.04,light rain,60.3778,92.6267,
159,Bambous Virieux,MU,70.05,few clouds,-20.3428,57.7575,Casa Tia Villa
160,Winnemucca,US,75.25,clear sky,40.973,-117.7357,Winners Inn Casino
162,El Alto,PE,71.26,clear sky,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
163,Arraial Do Cabo,BR,73.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
165,Storforshei,NO,80.38,few clouds,66.4043,14.5233,Campingplass Mo i Rana: Storli Camping
168,Hovd,MN,73.76,scattered clouds,48.0056,91.6419,Hotel Khovd
171,Kavieng,PG,82.0,light rain,-2.5744,150.7967,Nusa Island Retreat
173,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
174,Tura,IN,74.8,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
176,Sibolga,ID,76.73,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
177,Pochutla,MX,86.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
178,Cochrane,CA,68.65,clear sky,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
179,Umm Lajj,SA,86.04,clear sky,25.0213,37.2685,Moon light Furnished Units
181,Taraza,CO,84.85,overcast clouds,7.5836,-75.4007,Hotel Monteverde
182,Banda Aceh,ID,80.94,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
183,Goderich,CA,72.91,overcast clouds,43.7501,-81.7165,Harmony Inn
184,Dzerzhinskoye,RU,65.68,few clouds,56.8344,95.2283,Kolos
186,Port Moresby,PG,74.62,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
187,Ahtopol,BG,72.16,broken clouds,42.1,27.95,Agata Beach Hotel
189,Luganville,VU,78.73,few clouds,-15.5333,167.1667,The Espiritu Hotel
191,Bouna,CI,87.1,overcast clouds,9.2667,-3.0,Hôtel lababa
195,Padang,ID,77.14,broken clouds,-0.9492,100.3543,Mercure Padang
